method,gold_recall,in_evidence,in_raw_summary,in_final_summary,error_type,evidence_rank,route_label,change_types,changed_fields,score,evidence_preview
prompt_only,26-317,True,False,False,generation_missing,11,new_high_risk,added,,72.0,Recall Number: 26-317 Change Types: added Changed Fields: Recall Heading: Cubimana Island Storm 3 In 1 Building Sets Recalled Due to Risk of Serious Injury or Death from Battery In...
prompt_only,26-331,True,True,True,covered,5,new_high_risk,added,,78.0,Recall Number: 26-331 Change Types: added Changed Fields: Recall Heading: Lifetime Brands Recalls BUILT LUUM Light Up Tumblers Due to Risk of Choking and Battery Ingestion Hazards ...
prompt_only,26-344,True,True,True,covered,6,new_high_risk,added,,78.0,Recall Number: 26-344 Change Types: added Changed Fields: Recall Heading: Sunnyyes LED Mini Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates ...
prompt_only,26-346,True,False,False,generation_missing,12,new_high_risk,added,,72.0,Recall Number: 26-346 Change Types: added Changed Fields: Recall Heading: CCCEI Brand Power Strips Recalled Due to Risk of Serious Injury or Death from Fire; Sold by Middle Way Ele...
prompt_only,26-348,True,True,True,covered,3,new_high_risk,added,,80.0,Recall Number: 26-348 Change Types: added Changed Fields: Recall Heading: FUNTOK Ride-On Trucks Recalled Due to Fire and Burn Hazards; Risk of Serious Injury or Death; Imported by ...
prompt_only,26-368,True,False,False,generation_missing,19,new_high_risk,added,,70.0,Recall Number: 26-368 Change Types: added Changed Fields: Recall Heading: Gavoyeat Halloween Light-Up Rings Recalled Due to Risk of Serious Injury or Death from Battery Ingestion H...
prompt_only,26-369,True,False,False,generation_missing,13,new_high_risk,added,,72.0,Recall Number: 26-369 Change Types: added Changed Fields: Recall Heading: Coluans Christmas Light-Up Rings Recalled Due to Risk of Serious Injury or Death from Battery Ingestion Ha...
prompt_only,26-379,True,True,True,covered,4,new_high_risk,added,,80.0,Recall Number: 26-379 Change Types: added Changed Fields: Recall Heading: HTRC and Haisito T400 Battery Chargers Recalled Due to Risk of Serious Injury and Death from Fire Hazard; ...
prompt_only,26-389,True,False,False,generation_missing,14,new_high_risk,added,,72.0,Recall Number: 26-389 Change Types: added Changed Fields: Recall Heading: Silks Recall Children’s Loungewear Sets Due to Risk of Serious Injury or Death from Burn Hazard; Violates ...
prompt_only,26-396,True,False,False,generation_missing,15,new_high_risk,added,,72.0,Recall Number: 26-396 Change Types: added Changed Fields: Recall Heading: Halloween Pumpkin Carving Kits Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Vio...
prompt_only,26-398,True,True,True,covered,7,new_high_risk,added,,78.0,Recall Number: 26-398 Change Types: added Changed Fields: Recall Heading: ShymeryDirect LED Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates ...
prompt_only,26-401,True,True,True,covered,2,new_high_risk,added,,88.0,Recall Number: 26-401 Change Types: added Changed Fields: Recall Heading: Shenzhen Shijingjie Network Technology Male-to-Male Extension Cords Recalled Due to Risk of Serious Injury...
prompt_only,26-403,True,True,True,covered,8,new_high_risk,added,,78.0,Recall Number: 26-403 Change Types: added Changed Fields: Recall Heading: LED Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Stan...
prompt_only,26-418,True,True,True,covered,1,new_high_risk,added,,91.0,Recall Number: 26-418 Change Types: added Changed Fields: Recall Heading: Casely Reannounces Recall of Wireless Portable Power Banks Due to Risk of Serious Injury or Death from Fir...
prompt_only,26-424,True,False,False,generation_missing,16,new_high_risk,added,,72.0,Recall Number: 26-424 Change Types: added Changed Fields: Recall Heading: ZMC Group Recalls LED Finger Beam Lights Due to Risk of Serious Injury or Death from Battery Ingestion; Vi...
prompt_only,26-428,True,False,False,generation_missing,17,new_high_risk,added,,72.0,Recall Number: 26-428 Change Types: added Changed Fields: Recall Heading: JC Sales Recalls Lil' Buddies Pet Laser Toys Due to Risk of Serious Injury or Death from Battery Ingestion...
rag,26-317,False,False,False,retrieval_missing,,,,,,
rag,26-331,True,True,True,covered,5,new_high_risk,added,,0.9951234820415469,Recall Number: 26-331 Change Types: added Changed Fields: Recall Heading: Lifetime Brands Recalls BUILT LUUM Light Up Tumblers Due to Risk of Choking and Battery Ingestion Hazards ...
rag,26-344,True,True,True,covered,4,new_high_risk,added,,0.9814327793480386,Recall Number: 26-344 Change Types: added Changed Fields: Recall Heading: Sunnyyes LED Mini Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates ...
rag,26-346,False,False,False,retrieval_missing,,,,,,
rag,26-348,True,True,True,covered,6,new_high_risk,added,,0.9823268710316313,Recall Number: 26-348 Change Types: added Changed Fields: Recall Heading: FUNTOK Ride-On Trucks Recalled Due to Fire and Burn Hazards; Risk of Serious Injury or Death; Imported by ...
rag,26-368,False,False,False,retrieval_missing,,,,,,
rag,26-369,False,False,False,retrieval_missing,,,,,,
rag,26-379,True,True,True,covered,3,new_high_risk,added,,0.9927778435998702,Recall Number: 26-379 Change Types: added Changed Fields: Recall Heading: HTRC and Haisito T400 Battery Chargers Recalled Due to Risk of Serious Injury and Death from Fire Hazard; ...
rag,26-389,True,False,True,covered,10,new_high_risk,added,,0.8356111117315188,Recall Number: 26-389 Change Types: added Changed Fields: Recall Heading: Silks Recall Children’s Loungewear Sets Due to Risk of Serious Injury or Death from Burn Hazard; Violates ...
rag,26-396,False,False,False,retrieval_missing,,,,,,
rag,26-398,True,True,True,covered,8,new_high_risk,added,,0.868804137239602,Recall Number: 26-398 Change Types: added Changed Fields: Recall Heading: ShymeryDirect LED Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates ...
rag,26-401,True,True,True,covered,2,new_high_risk,added,,1.0357728368649943,Recall Number: 26-401 Change Types: added Changed Fields: Recall Heading: Shenzhen Shijingjie Network Technology Male-to-Male Extension Cords Recalled Due to Risk of Serious Injury...
rag,26-403,True,True,True,covered,9,new_high_risk,added,,0.8684734569631998,Recall Number: 26-403 Change Types: added Changed Fields: Recall Heading: LED Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Stan...
rag,26-418,True,True,True,covered,1,new_high_risk,added,,1.055807514902253,Recall Number: 26-418 Change Types: added Changed Fields: Recall Heading: Casely Reannounces Recall of Wireless Portable Power Banks Due to Risk of Serious Injury or Death from Fir...
rag,26-424,True,True,True,covered,11,new_high_risk,added,,0.8488217276072232,Recall Number: 26-424 Change Types: added Changed Fields: Recall Heading: ZMC Group Recalls LED Finger Beam Lights Due to Risk of Serious Injury or Death from Battery Ingestion; Vi...
rag,26-428,True,True,True,covered,12,new_high_risk,added,,0.8485925478496128,Recall Number: 26-428 Change Types: added Changed Fields: Recall Heading: JC Sales Recalls Lil' Buddies Pet Laser Toys Due to Risk of Serious Injury or Death from Battery Ingestion...
agentic_rag,26-317,False,False,False,retrieval_missing,,,,,,
agentic_rag,26-331,True,True,True,covered,5,new_high_risk,added,,0.9951234820415469,Recall Number: 26-331 Change Types: added Changed Fields: Recall Heading: Lifetime Brands Recalls BUILT LUUM Light Up Tumblers Due to Risk of Choking and Battery Ingestion Hazards ...
agentic_rag,26-344,True,True,True,covered,4,new_high_risk,added,,0.9814327793480386,Recall Number: 26-344 Change Types: added Changed Fields: Recall Heading: Sunnyyes LED Mini Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates ...
agentic_rag,26-346,True,False,True,covered,13,new_high_risk,added,,0.8358497917683037,Recall Number: 26-346 Change Types: added Changed Fields: Recall Heading: CCCEI Brand Power Strips Recalled Due to Risk of Serious Injury or Death from Fire; Sold by Middle Way Ele...
agentic_rag,26-348,True,True,True,covered,6,new_high_risk,added,,0.9823268710316313,Recall Number: 26-348 Change Types: added Changed Fields: Recall Heading: FUNTOK Ride-On Trucks Recalled Due to Fire and Burn Hazards; Risk of Serious Injury or Death; Imported by ...
agentic_rag,26-368,False,False,False,retrieval_missing,,,,,,
agentic_rag,26-369,True,False,True,covered,15,new_high_risk,added,,0.8340586691650294,Recall Number: 26-369 Change Types: added Changed Fields: Recall Heading: Coluans Christmas Light-Up Rings Recalled Due to Risk of Serious Injury or Death from Battery Ingestion Ha...
agentic_rag,26-379,True,True,True,covered,3,new_high_risk,added,,0.9927778435998702,Recall Number: 26-379 Change Types: added Changed Fields: Recall Heading: HTRC and Haisito T400 Battery Chargers Recalled Due to Risk of Serious Injury and Death from Fire Hazard; ...
agentic_rag,26-389,True,False,True,covered,10,new_high_risk,added,,0.8356111117315188,Recall Number: 26-389 Change Types: added Changed Fields: Recall Heading: Silks Recall Children’s Loungewear Sets Due to Risk of Serious Injury or Death from Burn Hazard; Violates ...
agentic_rag,26-396,True,False,True,covered,14,new_high_risk,added,,0.8340897753028134,Recall Number: 26-396 Change Types: added Changed Fields: Recall Heading: Halloween Pumpkin Carving Kits Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Vio...
agentic_rag,26-398,True,True,True,covered,8,new_high_risk,added,,0.868804137239602,Recall Number: 26-398 Change Types: added Changed Fields: Recall Heading: ShymeryDirect LED Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates ...
agentic_rag,26-401,True,True,True,covered,2,new_high_risk,added,,1.0357728368649943,Recall Number: 26-401 Change Types: added Changed Fields: Recall Heading: Shenzhen Shijingjie Network Technology Male-to-Male Extension Cords Recalled Due to Risk of Serious Injury...
agentic_rag,26-403,True,True,True,covered,9,new_high_risk,added,,0.8684734569631998,Recall Number: 26-403 Change Types: added Changed Fields: Recall Heading: LED Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Stan...
agentic_rag,26-418,True,True,True,covered,1,new_high_risk,added,,1.055807514902253,Recall Number: 26-418 Change Types: added Changed Fields: Recall Heading: Casely Reannounces Recall of Wireless Portable Power Banks Due to Risk of Serious Injury or Death from Fir...
agentic_rag,26-424,True,True,True,covered,11,new_high_risk,added,,0.8488217276072232,Recall Number: 26-424 Change Types: added Changed Fields: Recall Heading: ZMC Group Recalls LED Finger Beam Lights Due to Risk of Serious Injury or Death from Battery Ingestion; Vi...
agentic_rag,26-428,True,True,True,covered,12,new_high_risk,added,,0.8485925478496128,Recall Number: 26-428 Change Types: added Changed Fields: Recall Heading: JC Sales Recalls Lil' Buddies Pet Laser Toys Due to Risk of Serious Injury or Death from Battery Ingestion...
contrastive_adaptive_rag,26-317,True,False,True,covered,16,new_high_risk,added,,0.83333217638815,Recall Number: 26-317 Change Types: added Changed Fields: Recall Heading: Cubimana Island Storm 3 In 1 Building Sets Recalled Due to Risk of Serious Injury or Death from Battery In...
contrastive_adaptive_rag,26-331,True,True,True,covered,4,new_high_risk,added,,0.9951234820415469,Recall Number: 26-331 Change Types: added Changed Fields: Recall Heading: Lifetime Brands Recalls BUILT LUUM Light Up Tumblers Due to Risk of Choking and Battery Ingestion Hazards ...
contrastive_adaptive_rag,26-344,True,True,True,covered,5,new_high_risk,added,,0.9814327793480386,Recall Number: 26-344 Change Types: added Changed Fields: Recall Heading: Sunnyyes LED Mini Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates ...
